,tid,Population2016,Population 2011,PopulationChange,TotalPrivateDwellings,OccupiedDwellings,Density,Land,bornSinceLastCensus
0,2050001.00,3868,3759,2.9,1658,1566,678.2,5.7,270
0,2050002.00,6194,5363,15.5,2942,2729,537.7,11.52,355
0,2050003.00,2955,3036,-2.7,1401,1191,1249.3,2.37,75
0,2050005.00,1808,1797,0.6,731,655,2352,0.77,60
0,2050023.00,4594,4218,8.9,2374,2119,2989.3,1.54,275
0,2050024.00,7375,6309,16.9,3804,3557,3382.1,2.18,400
0,2050027.00,7362,6041,21.9,3656,3385,1636.7,4.5,405
0,2050100.00,3855,3112,23.9,1877,1724,657.7,5.86,150
0,2050101.00,3343,3430,-2.5,1849,1719,1999.6,1.67,195
0,2050102.00,4623,4298,7.6,2660,2413,3502,1.32,190
0,2050103.00,4228,4342,-2.6,1994,1936,2233.8,1.89,210
0,2050107.00,3000,2947,1.8,1351,1305,1950.2,1.54,130
0,2050108.00,4769,4327,10.2,2416,2311,2101.6,2.27,185
0,2050109.00,3200,3211,-0.3,1827,1691,2526,1.27,160
0,2050110.00,1481,1584,-6.5,1002,838,1838.8,0.81,70
0,2050006.00,3129,3122,0.2,1800,1289,2969,1.05,70
0,2050007.00,1859,1716,8.3,1362,1119,1601.9,1.16,15
0,2050008.00,2778,2763,0.5,2069,1573,5515.2,0.5,55
0,2050009.00,2357,1984,18.8,1535,1328,3711.8,0.64,70
0,2050010.00,5036,5029,0.1,3290,2802,6035.5,0.83,215
0,2050011.00,5631,5910,-4.7,2912,2564,6970.8,0.81,160
0,2050012.00,2482,2650,-6.3,1236,1021,4793.4,0.52,70
0,2050013.00,2561,2617,-2.1,1167,1087,3181.4,0.81,100
0,2050014.00,4248,4104,3.5,2047,1947,2312.2,1.84,170
0,2050015.00,4829,4691,2.9,2575,2425,2364.1,2.04,260
0,2050016.00,3766,3351,12.4,1838,1707,1468.9,2.56,225
0,2050017.00,2914,2710,7.5,1275,1201,1000.2,2.91,150
0,2050018.00,3544,3622,-2.2,1986,1869,2537.6,1.4,125
0,2050019.00,5062,4956,2.1,2658,2501,5681.9,0.89,195
0,2050020.00,2562,2665,-3.9,1127,1009,2564.3,1,50
0,2050021.00,3314,3325,-0.3,1729,1612,3780.5,0.88,195
0,2050022.00,5301,5423,-2.2,3053,2730,1871.2,2.83,210
0,2050114.00,6569,6740,-2.5,4152,3726,362.2,18.14,345
0,2050111.00,3132,3012,4,1932,1782,3226.5,0.97,120
0,2050112.00,2014,1953,3.1,1270,1090,1223.7,1.65,105
0,2050113.00,1317,1059,24.4,578,518,430.9,3.06,125
0,2050132.06,7185,4907,46.4,2464,2374,142.6,50.39,440
0,2050142.01,5497,5356,2.6,1989,1962,821.4,6.69,370
0,2050142.02,4055,3873,4.7,1671,1597,80.3,50.51,310
0,2050026.03,3358,3425,-2,1393,1367,2410.8,1.39,145
0,2050122.05,3191,3363,-5.1,1360,1322,2661.4,1.2,180
0,2050132.07,5114,4737,8,1751,1715,77.6,65.9,270
0,2050026.04,4199,4035,4.1,1952,1911,6425.4,0.65,235
0,2050026.05,3967,4005,-0.9,1548,1531,5142.6,0.77,135
0,2050122.04,4189,4320,-3,1561,1544,1195.3,3.5,245
0,2050120.00,2196,2202,-0.3,915,870,93.6,23.47,100
0,2050140.00,6430,6431,0,2744,2568,37.8,170.2,315
0,2050141.00,6769,6942,-2.5,3033,2702,32.6,207.36,335
0,2050151.00,5693,5737,-0.8,2611,2380,32.3,176.18,290
0,2050152.00,4284,4176,2.6,1816,1702,6.9,618.4,265
0,2050121.02,3131,3300,-5.1,1303,1279,1904.4,1.64,165
0,2050131.01,4945,5096,-3,1916,1892,1976.8,2.5,275
0,2050104.01,2015,2045,-1.5,907,877,1618.7,1.24,100
0,2050104.02,8522,8270,3,3447,3395,1758.9,4.85,325
0,2050105.01,3082,3203,-3.8,1344,1299,2588.4,1.19,145
0,2050105.02,4613,4724,-2.3,1798,1781,2189.7,2.11,200
0,2050131.02,4069,4253,-4.3,1808,1756,1769.6,2.3,170
0,2050131.03,6101,6065,0.6,2626,2497,1028.2,5.93,395
0,2050025.01,4726,4711,0.3,2252,2069,4501.4,1.05,290
0,2050025.02,4863,4904,-0.8,2604,2416,2542.5,1.91,225
0,2050131.05,3509,3713,-5.5,1362,1344,745.4,4.71,165
0,2050121.03,1890,1943,-2.7,721,702,106.1,17.81,70
0,2050122.01,3191,3298,-3.2,1357,1343,2187.1,1.46,135
0,2050122.03,3262,3369,-3.2,1358,1309,84.2,38.75,115
0,2050123.01,2142,2192,-2.3,900,850,47.5,45.11,110
0,2050123.02,3970,4209,-5.7,1627,1534,303.6,13.08,140
0,2050004.01,3466,3418,1.4,2659,2239,7202.8,0.48,40
0,2050004.02,4771,4649,2.6,3310,2770,9896.3,0.48,130
0,2050150.01,6508,6850,-5,2670,2552,65.6,99.28,335
0,2050150.02,6152,6173,-0.3,2429,2341,85.7,71.77,305
0,2050025.03,8232,7291,12.9,4451,4314,3337.7,2.47,345
0,2050131.04,3313,3285,0.9,1408,1369,714,4.64,125
0,2050130.03,5372,4997,7.5,1869,1810,257.1,20.89,260
0,2050130.04,3824,3741,2.2,1431,1393,178.3,21.45,215
0,2050132.03,6146,5428,13.2,2331,2294,1448.1,4.24,430
0,2050132.04,5930,5414,9.5,2128,2093,185.8,31.92,345
0,2050143.01,5442,4975,9.4,2397,2044,19.4,279.91,305
0,2050143.02,6568,6126,7.2,2747,2530,59.6,110.14,340
0,2050106.01,3538,3639,-2.8,1662,1490,2268.1,1.56,235
0,2050153.00,5945,6132,-3,3424,2604,4.9,1209.07,230
0,2050106.02,5106,5198,-1.8,1975,1939,569.8,8.96,260
0,2050121.05,4583,4532,1.1,1884,1803,276.1,16.6,350
0,2050121.06,5624,5604,0.4,2147,2094,864.1,6.51,425
0,2050121.08,3606,3726,-3.2,1233,1233,2295.6,1.57,150
0,2050123.04,9580,7130,34.4,4238,3991,2447.2,3.91,505
0,2050123.05,3634,3675,-1.1,1593,1526,1874.3,1.94,180
0,2050123.06,2801,2881,-2.8,1145,1122,1648.2,1.7,130
0,2050026.02,3409,3345,1.9,1597,1543,2259.7,1.51,150